"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,NOX,NO2,SO2,CO,O3
01/04/2011 6.00,"17,4",13,"0,1","0,3","89,8"
01/04/2011 7.00,"43,9","21,8","0,1","0,3","80,9"
01/04/2011 8.00,"37,2","20,1","0,2","0,3","79,6"
01/04/2011 9.00,24,"15,8","0,4","0,3","86,1"
01/04/2011 10.00,"21,8","13,5","0,3","0,3","90,8"
01/04/2011 11.00,"25,1","15,6","1,5","0,2",89
01/04/2011 12.00,"20,2","12,2",1,"0,3","97,6"
01/04/2011 13.00,"21,5","12,4","0,7","0,3","103,4"
01/04/2011 14.00,"22,6","13,4","1,6","0,4","99,7"
01/04/2011 15.00,"18,9",12,"0,9","0,3","107,1"
01/04/2011 16.00,"17,9","11,9","1,4","0,3",119
01/04/2011 17.00,"17,8","12,1","1,3","0,9","110,4"
01/04/2011 18.00,21,"14,8","1,7","0,4","116,3"
01/04/2011 19.00,"23,6","17,3","0,5","0,4","110,6"
01/04/2011 20.00,"23,9","18,3","0,6","0,4","107,3"
01/04/2011 21.00,"20,4","15,7","0,8","0,3","108,1"
01/04/2011 22.00,"15,7","11,8","0,6","0,3","110,1"
01/04/2011 23.00,15,"10,7","0,2","0,3","110,8"
02/04/2011 0.00,"13,9","9,9","0,6","0,3","105,4"
02/04/2011 1.00,"14,1","10,3","0,8","0,3",103
02/04/2011 2.00,,,"0,8","0,2",101
02/04/2011 3.00,,,"0,7","0,2","97,9"
02/04/2011 4.00,17,"13,6",,"0,3","95,9"
02/04/2011 5.00,"16,5","11,7","0,7","0,3",
02/04/2011 6.00,"19,8","14,8","0,9","0,3","85,3"
02/04/2011 7.00,34,"21,2","1,2","0,3","80,5"
02/04/2011 8.00,"32,3","22,2",2,"0,3","78,2"
02/04/2011 9.00,"25,7","18,6","3,4","0,3","85,7"
02/04/2011 10.00,"17,4","10,9","4,6","0,3","100,2"
02/04/2011 11.00,"18,6","12,2","6,7","0,3","106,4"
02/04/2011 12.00,"19,4","12,6","5,5","0,3","107,7"
02/04/2011 13.00,"25,7","14,9","4,6","0,4","108,7"
02/04/2011 14.00,"16,3",11,"4,3","0,3","116,1"
02/04/2011 15.00,"13,9","9,3","2,8","0,3","113,6"
02/04/2011 16.00,"16,8","10,6","2,2","0,3","109,6"
02/04/2011 17.00,18,"11,5","1,7","0,3","103,7"
02/04/2011 18.00,"20,4",14,"1,7","0,3","97,8"
02/04/2011 19.00,"20,8","14,5","1,2","0,3","91,9"
02/04/2011 20.00,"21,5","16,1",1,"0,3","85,7"
02/04/2011 21.00,"19,8","15,3","0,9","0,3","85,1"
02/04/2011 22.00,"17,5","12,4","0,8","0,3",87
02/04/2011 23.00,"14,9",10,"0,6","0,3","85,6"
03/04/2011 0.00,"13,4","8,8","0,5","0,2","88,1"
03/04/2011 1.00,"11,9",8,"0,3","0,2","86,7"
03/04/2011 2.00,"11,4","7,9","0,2","0,2","83,8"
03/04/2011 3.00,"11,5","7,2","0,3",,"84,2"
03/04/2011 4.00,12,"8,2","0,3","0,2","81,6"
03/04/2011 5.00,"12,4","7,8","0,2","0,2","79,9"
03/04/2011 6.00,"14,9","10,6","0,3","0,2","75,6"
03/04/2011 7.00,"17,7","12,3","0,3","0,3","72,5"
03/04/2011 8.00,"17,6","11,7","0,4","0,2","75,4"
03/04/2011 9.00,"22,8","15,1","1,1","0,2","76,4"
03/04/2011 10.00,"21,5","13,1","1,6","0,2",82
03/04/2011 11.00,"17,4","11,3",1,"0,3","90,3"
03/04/2011 12.00,"16,7",11,"0,7","0,3","97,2"
03/04/2011 13.00,"18,7","10,3",1,"0,3","101,5"
03/04/2011 14.00,"12,1","7,6","0,4","0,3","107,7"
03/04/2011 15.00,"12,4","8,3","0,2","0,3","108,5"
03/04/2011 16.00,"12,8","7,9","1,1","0,3","110,3"
03/04/2011 17.00,"15,7","11,2","1,6","0,3","109,6"
03/04/2011 18.00,"22,7","15,5","2,1","0,4","103,9"
03/04/2011 19.00,26,"20,5","1,7","0,4",92
03/04/2011 20.00,"37,9","31,7","1,5","0,4","78,8"
03/04/2011 21.00,"34,2","29,7","1,9","0,4","75,2"
03/04/2011 22.00,"30,7","24,8","1,9","0,3","78,2"
03/04/2011 23.00,"25,1","20,8","1,3","0,3",72
04/04/2011 0.00,"27,1","22,8","0,7","0,3","52,6"
04/04/2011 1.00,"17,4","13,7","0,3","0,3","51,7"
04/04/2011 2.00,,,"0,2","0,3","60,6"
04/04/2011 3.00,,,"0,2","0,3",60
04/04/2011 4.00,"22,9","18,9",,"0,3","53,7"
04/04/2011 5.00,"25,9","21,5","0,8","0,3",
04/04/2011 6.00,"89,5","42,5","1,2","0,4","24,3"
04/04/2011 7.00,90,"50,9","1,4","0,6","11,3"
04/04/2011 8.00,"121,8","62,4",3,"1,2","21,7"
04/04/2011 9.00,33,"24,2","2,3","0,3","82,5"
04/04/2011 10.00,"69,4","25,9","2,8","0,3","88,4"
04/04/2011 11.00,"23,5","16,3","1,4","0,3","98,9"
04/04/2011 12.00,"21,6","13,6","1,1","0,3","107,4"
04/04/2011 13.00,"26,8","17,1",2,"0,4","105,9"
04/04/2011 14.00,"21,7","14,4","2,1","0,3",110
04/04/2011 15.00,"19,6","13,4","1,7","0,3","114,4"
04/04/2011 16.00,"18,1","12,6","0,9","0,3","114,5"
04/04/2011 17.00,"26,1","19,4","0,7","0,4","105,2"
04/04/2011 18.00,"27,2","21,4","0,7","0,3","101,7"
04/04/2011 19.00,"39,8","32,9","1,1","0,4","81,7"
04/04/2011 20.00,"29,9","23,1","0,7","0,4","73,2"
04/04/2011 21.00,"23,5","17,2","0,4","0,3","72,2"
04/04/2011 22.00,"17,1","11,9","0,3","0,3","72,4"
04/04/2011 23.00,"14,5","9,4","0,4","0,3",75
05/04/2011 0.00,"12,4","8,5","0,5","0,3","73,9"
05/04/2011 1.00,11,"7,1","0,8","0,3","69,9"
05/04/2011 2.00,"10,9","6,6","0,7","0,3","64,7"
05/04/2011 3.00,"10,4","7,6","0,8","0,3",60
05/04/2011 4.00,"10,5","6,3","0,7","0,3","61,4"
05/04/2011 5.00,"14,4","8,9","0,7","0,3","50,9"
05/04/2011 6.00,37,"25,7","0,8","0,4","35,4"
05/04/2011 7.00,,,"1,5","0,5","32,8"
05/04/2011 8.00,"70,2","43,1","1,6",1,"35,7"
05/04/2011 9.00,"42,6","31,4","1,9","0,6","69,3"
05/04/2011 10.00,"34,2","24,7","2,9","0,4","82,8"
05/04/2011 11.00,"32,1","25,2","2,8","0,4","100,9"
05/04/2011 12.00,"24,2","17,3","2,3","0,4","110,2"
05/04/2011 13.00,"26,8","17,2",2,"0,4","97,2"
05/04/2011 14.00,"20,5","12,8","1,5","0,3","101,4"
05/04/2011 15.00,"18,6","12,5","1,3","0,3","106,1"
05/04/2011 16.00,"25,6","17,8","1,3","0,4","102,8"
05/04/2011 17.00,"30,4","22,4","1,3","0,4","99,2"
05/04/2011 18.00,"24,3","17,1","1,2","0,3","96,3"
05/04/2011 19.00,"20,1","13,9","1,4","0,4","93,9"
05/04/2011 20.00,"24,5",17,"1,2","0,3",92
05/04/2011 21.00,"20,6","15,5","1,1","0,3","89,7"
05/04/2011 22.00,"13,4","8,7","1,1","0,3","79,2"
05/04/2011 23.00,"10,6","6,6","0,8","0,3","77,1"
06/04/2011 0.00,"11,3",7,"0,8","0,2","77,6"
06/04/2011 1.00,"11,1","6,9","0,7","0,2","75,3"
06/04/2011 2.00,,,"0,7","0,2","73,6"
06/04/2011 3.00,,,"0,7",,"71,7"
06/04/2011 4.00,"16,5","12,5",,"0,2","70,7"
06/04/2011 5.00,"13,4","9,1","0,3","0,2",
06/04/2011 6.00,"15,3","10,4","0,5","0,3",68
06/04/2011 7.00,,,1,"0,3","57,5"
06/04/2011 8.00,"30,8","18,5","0,8","0,3","64,1"
06/04/2011 9.00,"20,2","11,6","0,9","0,2","79,6"
06/04/2011 10.00,"15,9","8,6","0,8","0,2","87,5"
06/04/2011 11.00,"15,3","7,9","0,2","0,2","92,2"
06/04/2011 12.00,"14,8","8,6","0,1","0,3","93,7"
06/04/2011 13.00,"19,1","10,5","0,1","0,3","94,3"
06/04/2011 14.00,18,"8,8",0,"0,3","97,6"
06/04/2011 15.00,"14,6","8,7","0,2","0,3","101,7"
06/04/2011 16.00,"16,9","10,9","0,5","0,3","102,4"
06/04/2011 17.00,"18,8","12,7","0,4","0,3","101,9"
06/04/2011 18.00,"21,8","14,6","0,5","0,3",98
06/04/2011 19.00,21,"14,5","0,3","0,3","98,6"
06/04/2011 20.00,"24,2","17,4","0,5","0,3",94
06/04/2011 21.00,"21,7","16,3","0,5","0,3","92,1"
06/04/2011 22.00,"16,3",12,"0,3","0,3","93,9"
06/04/2011 23.00,14,"9,5","0,1","0,2",92
07/04/2011 0.00,"13,8","10,7","0,1","0,2","87,2"
07/04/2011 1.00,"14,4",10,"0,1","0,2",79
07/04/2011 2.00,"12,5","8,9","0,1","0,2","81,7"
07/04/2011 3.00,"10,4","7,5","0,1","0,3","97,8"
07/04/2011 4.00,"10,8","7,4","0,1","0,3","102,1"
07/04/2011 5.00,"13,6","8,8","0,2","0,3","99,1"
07/04/2011 6.00,"15,2","11,6","0,3","0,3","94,3"
07/04/2011 7.00,,,"1,7","0,3","68,6"
07/04/2011 8.00,"47,7","31,7","0,9","0,3","61,3"
07/04/2011 9.00,"29,2","19,5","0,6","0,3","75,4"
07/04/2011 10.00,"22,2","14,8","1,2","0,2","91,5"
07/04/2011 11.00,"17,8","10,9","0,6","0,3","98,4"
07/04/2011 12.00,"18,8","11,4","0,7","0,3","98,4"
07/04/2011 13.00,"24,1","13,8","0,5","0,3","97,5"
07/04/2011 14.00,19,"10,5","0,5","0,3","99,3"
07/04/2011 15.00,"15,7","9,3",0,"0,3","100,9"
07/04/2011 16.00,"14,9","8,8",0,"0,3","102,3"
07/04/2011 17.00,"17,2","10,5","0,1","0,3","103,6"
07/04/2011 18.00,"17,3","10,9",0,"0,3","102,8"
07/04/2011 19.00,25,"17,8","0,2","0,3","98,2"
07/04/2011 20.00,"26,2","18,6","0,1","0,3","89,2"
07/04/2011 21.00,"18,4","13,9","0,1","0,3","87,7"
07/04/2011 22.00,"14,8","9,8",0,"0,3","87,6"
07/04/2011 23.00,"12,1","8,5",0,"0,3","87,7"
08/04/2011 0.00,"13,4","9,1","0,1","0,2","85,3"
08/04/2011 1.00,"12,3","9,2","0,2","0,2","74,9"
08/04/2011 2.00,,,"0,2","0,2","62,7"
08/04/2011 3.00,,,"0,2","0,2","50,9"
08/04/2011 4.00,"19,9","15,5",,"0,2","42,7"
08/04/2011 5.00,"27,9","22,5","1,1","0,3",
08/04/2011 6.00,"36,1","27,3","1,4","0,4","22,7"
08/04/2011 7.00,"90,9","37,6","2,7","0,5","21,7"
08/04/2011 8.00,"113,7","48,9","6,8","0,8","20,9"
08/04/2011 9.00,"43,3","28,6","4,4","0,4","50,9"
08/04/2011 10.00,"25,9","16,5","1,6","0,3","76,9"
08/04/2011 11.00,"18,9","11,7","1,1","0,3","88,8"
08/04/2011 12.00,"22,1","14,8","1,3","0,3",96
08/04/2011 13.00,"34,9","19,4","1,4","0,4","97,7"
08/04/2011 14.00,"23,7","15,7","1,2","0,3","100,6"
08/04/2011 15.00,"39,1","19,5","1,4","0,4","91,5"
08/04/2011 16.00,"21,7","14,9",1,"0,3","89,8"
08/04/2011 17.00,"27,9","18,9","1,3","0,3","85,9"
08/04/2011 18.00,"48,4",31,"1,3","0,4","69,3"
08/04/2011 19.00,"32,1","25,2","1,1","0,4","61,8"
08/04/2011 20.00,"42,5","33,2","1,8","0,4","64,3"
08/04/2011 21.00,"35,5","28,8","1,8","0,3","70,2"
08/04/2011 22.00,"28,1","22,7","1,6","0,3","78,4"
08/04/2011 23.00,"22,7","18,3","1,4","0,3","81,9"
09/04/2011 0.00,"19,7","15,8","1,4","0,3","88,8"
09/04/2011 1.00,"16,5","12,4","1,4","0,3","96,6"
09/04/2011 2.00,"15,6","12,2","1,7","0,3",101
09/04/2011 3.00,"15,1","10,9","1,4",,"97,4"
09/04/2011 4.00,"15,1","11,5","0,9","0,2","76,5"
09/04/2011 5.00,"18,6","15,3","0,6","0,3","54,8"
09/04/2011 6.00,29,"23,5","0,7","0,3","30,8"
09/04/2011 7.00,"95,1","51,1",2,"0,6","28,4"
09/04/2011 8.00,"74,8","44,6","2,8","0,6","47,2"
09/04/2011 9.00,"34,1","25,6","2,2","0,3","79,4"
09/04/2011 10.00,"27,9","19,9","1,8","0,3",111
09/04/2011 11.00,"24,3","18,5","2,5","0,3","130,2"
09/04/2011 12.00,"22,7","15,3","2,4","0,3","128,6"
09/04/2011 13.00,"30,9","19,2","1,7","0,5","125,4"
09/04/2011 14.00,"20,6","13,1","1,3","0,3","132,1"
09/04/2011 15.00,"14,8","10,6",1,"0,3",142
09/04/2011 16.00,"16,4","11,3","1,1","0,3","152,4"
09/04/2011 17.00,"18,3","13,3","1,1","0,4","153,7"
09/04/2011 18.00,"19,8","15,3","1,1","0,4","151,9"
09/04/2011 19.00,"32,4","25,8",1,"0,4","135,3"
09/04/2011 20.00,"42,3","35,2","1,2","0,4","113,6"
09/04/2011 21.00,"25,3","20,7","1,2","0,4","127,9"
09/04/2011 22.00,"19,7","15,9","1,2","0,3","134,9"
09/04/2011 23.00,"16,9","12,5","1,2","0,3","140,7"
10/04/2011 0.00,"15,2","11,8","0,7","0,3","135,1"
10/04/2011 1.00,"14,6","10,7","0,7","0,3","128,3"
10/04/2011 2.00,,,"0,8","0,3","123,6"
10/04/2011 3.00,,,"0,5","0,3","113,1"
10/04/2011 4.00,"18,4","14,1",,"0,3","113,8"
10/04/2011 5.00,"16,8","12,7","0,6","0,3",
10/04/2011 6.00,"25,6","20,2","0,7","0,3","93,4"
10/04/2011 7.00,"24,1","18,4","0,6","0,3","86,9"
10/04/2011 8.00,"17,2","12,1","1,4","0,2","99,2"
10/04/2011 9.00,"12,4","7,7","1,6","0,2","100,8"
10/04/2011 10.00,"12,1","6,3",1,"0,2","102,9"
10/04/2011 11.00,"13,8","7,8","0,9","0,2","105,4"
10/04/2011 12.00,"19,7","13,6","3,1","0,3","99,5"
10/04/2011 13.00,15,"10,5","1,3","0,3","113,1"
10/04/2011 14.00,"14,8","9,2","1,1","0,3","112,8"
10/04/2011 15.00,"13,1","7,9",1,"0,3","111,4"
10/04/2011 16.00,"11,8","7,3","0,5","0,3",113
10/04/2011 17.00,"14,6","9,4","1,1","0,3","110,2"
10/04/2011 18.00,"16,6","11,2","0,8","0,3","108,5"
10/04/2011 19.00,"24,9","18,1","2,4","0,3","97,8"
10/04/2011 20.00,"31,9","21,9",1,"0,3","87,2"
10/04/2011 21.00,"17,3","12,4",1,"0,2","96,9"
10/04/2011 22.00,"13,9","9,1","0,7","0,2","100,9"
10/04/2011 23.00,"13,3","8,6","0,6","0,2","99,8"
11/04/2011 0.00,"9,2","5,9","0,8","0,2",102
11/04/2011 1.00,"10,5","5,9","1,1","0,2","101,5"
11/04/2011 2.00,"10,1","6,5",1,"0,2","93,9"
11/04/2011 3.00,"11,2","7,5","1,1","0,2","87,5"
11/04/2011 4.00,"12,3","8,2","1,1","0,2","85,2"
11/04/2011 5.00,"18,5","14,8","1,1","0,2","81,9"
11/04/2011 6.00,"23,2","17,9","1,2","0,2","81,2"
11/04/2011 7.00,39,"23,3","1,2","0,3","75,8"
11/04/2011 8.00,"31,9","21,2","1,6","0,3",80
11/04/2011 9.00,"19,5","11,3","1,3","0,2",88
11/04/2011 10.00,"15,4","8,3","1,1","0,2","92,7"
11/04/2011 11.00,"15,8","8,7","1,1","0,3","94,2"
11/04/2011 12.00,"15,7","9,1","0,9","0,3","96,3"
11/04/2011 13.00,"25,2","14,1","1,5","0,3","94,1"
11/04/2011 14.00,"16,4","9,1","1,2","0,3","97,7"
11/04/2011 15.00,"14,3","8,2","0,9","0,3","99,6"
11/04/2011 16.00,"15,1","9,2","0,7","0,3","100,8"
11/04/2011 17.00,"14,9","9,8","0,9","0,3","102,5"
11/04/2011 18.00,"16,9","10,7","1,1","0,3","99,7"
11/04/2011 19.00,"18,7","13,3","1,1","0,3","96,9"
11/04/2011 20.00,"19,9",14,"1,1","0,3","91,8"
11/04/2011 21.00,"17,3","12,4","0,9","0,3","90,3"
11/04/2011 22.00,"16,2",11,1,"0,2","83,2"
11/04/2011 23.00,"12,8","8,6",1,"0,2","86,1"
12/04/2011 0.00,"13,1","8,1","0,7","0,2","85,1"
12/04/2011 1.00,"10,3","6,6",0,"0,2","83,4"
12/04/2011 2.00,,,0,"0,2","82,5"
12/04/2011 3.00,,,0,,"84,5"
12/04/2011 4.00,"14,3","10,7",,"0,2","84,9"
12/04/2011 5.00,"15,1","11,2","0,3","0,2",
12/04/2011 6.00,"23,6","18,3","0,4","0,3","68,6"
12/04/2011 7.00,"111,2",42,"1,9","0,3",59
12/04/2011 8.00,"53,8","31,1","1,1","0,3","61,5"
12/04/2011 9.00,"27,9","18,6","0,9","0,3","75,5"
12/04/2011 10.00,"21,6","14,4","0,9","0,3","84,2"
12/04/2011 11.00,"19,9","12,9","1,1","0,3","90,6"
12/04/2011 12.00,"19,1","12,4","0,9","0,3","96,3"
12/04/2011 13.00,"25,9","15,9",1,"0,4","100,7"
12/04/2011 14.00,"22,9","14,9","1,8","0,3","106,2"
12/04/2011 15.00,"17,4","12,1","1,7","0,3","102,4"
12/04/2011 16.00,"15,9","10,8",1,"0,3","107,6"
12/04/2011 17.00,"37,1","23,3","0,9","0,5",111
12/04/2011 18.00,"44,9",28,"0,9","0,5","98,1"
12/04/2011 19.00,"33,6","22,7","0,7","0,5","84,5"
12/04/2011 20.00,"27,6","20,4","0,5","0,3",77
12/04/2011 21.00,"19,6","15,2","0,3","0,3","76,2"
12/04/2011 22.00,"18,7","14,6","0,5","0,3","75,7"
12/04/2011 23.00,"17,2","12,8","0,3","0,3","76,2"
13/04/2011 0.00,"13,6","9,2",1,"0,3","84,5"
13/04/2011 1.00,"10,9","7,8","1,8","0,3","88,9"
13/04/2011 2.00,"10,6","6,8","1,7","0,3","88,6"
13/04/2011 3.00,"10,1","6,4","1,6","0,3","86,2"
13/04/2011 4.00,"8,4","5,1","1,7","0,3","85,2"
13/04/2011 5.00,"13,7","7,3","1,5","0,3","83,9"
13/04/2011 6.00,"18,7",11,"1,5","0,3","75,7"
13/04/2011 7.00,"62,2","29,9","1,9","0,4","65,3"
13/04/2011 8.00,"42,9","26,1","2,3","0,5","74,8"
13/04/2011 9.00,"32,8","20,1","1,9","0,3","89,7"
13/04/2011 10.00,"29,2","17,3",2,"0,3","101,8"
13/04/2011 11.00,19,"11,6","1,7","0,3","105,2"
13/04/2011 12.00,"20,8","13,5","1,8","0,3","102,5"
13/04/2011 13.00,"30,8","18,6","3,1","0,4","89,7"
13/04/2011 14.00,"15,2","9,5","1,7","0,3","86,4"
13/04/2011 15.00,"13,8","8,1","1,7","0,3",87
13/04/2011 16.00,"14,1","8,6","1,7","0,3","86,6"
13/04/2011 17.00,16,"9,5","1,7","0,3","86,5"
13/04/2011 18.00,"16,8","11,2","1,6","0,3","84,2"
13/04/2011 19.00,"20,2",13,"1,3","0,3","83,2"
13/04/2011 20.00,"16,7","11,3","1,6","0,3","87,9"
13/04/2011 21.00,"13,7","8,6","1,7","0,3","92,6"
13/04/2011 22.00,"10,7","6,2","1,5","0,3","94,2"
13/04/2011 23.00,10,6,"1,4","0,3","94,4"
14/04/2011 0.00,"10,2","5,8","1,4","0,2","89,4"
14/04/2011 1.00,"9,6","5,7",1,"0,2","81,8"
14/04/2011 2.00,,,"1,2","0,2","89,9"
14/04/2011 3.00,,,"1,1","0,2","90,8"
14/04/2011 4.00,"14,4","9,6",,"0,2","91,3"
14/04/2011 5.00,13,"8,1","0,1","0,2",
14/04/2011 6.00,"18,7","12,8",0,"0,2","84,4"
14/04/2011 7.00,"70,2","26,3","0,5","0,2","74,5"
14/04/2011 8.00,"35,4","21,1","0,3","0,3","78,5"
14/04/2011 9.00,"17,9","10,8","0,1","0,2","90,1"
14/04/2011 10.00,"14,7","8,8","0,1","0,2","93,1"
14/04/2011 11.00,"15,5","7,9","0,1","0,2","94,4"
14/04/2011 12.00,"19,8","11,1",0,"0,2","95,6"
14/04/2011 13.00,"31,9","16,8","0,1","0,3","95,6"
14/04/2011 14.00,"19,6","11,5","0,2","0,2","101,3"
14/04/2011 15.00,"16,1","8,9",0,"0,3","105,6"
14/04/2011 16.00,"15,3","9,3",0,"0,3","105,7"
14/04/2011 17.00,"16,9","10,7","0,1","0,3","104,2"
14/04/2011 18.00,"21,2","12,8","0,3","0,3","101,6"
14/04/2011 19.00,"32,1","24,5","0,1","0,3","88,3"
14/04/2011 20.00,"45,5","36,6","0,1","0,4","65,3"
14/04/2011 21.00,"44,5","39,7",0,"0,3","44,6"
14/04/2011 22.00,54,"46,8",0,"0,4","16,9"
14/04/2011 23.00,"30,8","25,9","0,1","0,3","50,4"
15/04/2011 0.00,"18,8","15,1","0,1","0,3","65,4"
15/04/2011 1.00,"15,8","11,7","0,1","0,3","68,5"
15/04/2011 2.00,"20,2",15,"0,1","0,3","70,3"
15/04/2011 3.00,"14,2","10,3","0,2",,"66,9"
15/04/2011 4.00,"12,5","8,6","0,1","0,3",60
15/04/2011 5.00,"20,9","16,7","0,1","0,3","47,9"
15/04/2011 6.00,41,"33,7","0,1","0,4",38
15/04/2011 7.00,"84,1","47,3",1,"0,6","42,4"
15/04/2011 8.00,"56,6","34,1","1,1","0,4","67,9"
15/04/2011 9.00,"18,9","12,6","1,3","0,2","97,2"
15/04/2011 10.00,"14,1","8,3","0,6","0,2",105
15/04/2011 11.00,"10,9","5,6","0,4","0,2","106,7"
15/04/2011 12.00,"9,9","5,1","0,2","0,2","104,7"
15/04/2011 13.00,"11,4","6,1","0,4","0,3","103,2"
15/04/2011 14.00,"11,5","6,7","0,2","0,3","102,7"
15/04/2011 15.00,"10,6","6,1","0,2","0,3",106
15/04/2011 16.00,"11,2","6,1","0,3","0,3","106,5"
15/04/2011 17.00,"14,2","9,2","0,3","0,3","104,5"
15/04/2011 18.00,"22,2",16,"0,4","0,3","95,3"
15/04/2011 19.00,"25,9","20,3","0,3","0,3","87,9"
15/04/2011 20.00,"40,9","33,4","0,4","0,3","73,3"
15/04/2011 21.00,37,"31,3","0,4","0,3","71,1"
15/04/2011 22.00,"38,9","34,5","0,4","0,3","57,5"
15/04/2011 23.00,"42,2","37,6","0,3","0,4",38
16/04/2011 0.00,"25,1","21,4","0,4","0,3","51,6"
16/04/2011 1.00,"31,1","19,9","0,3","0,3","57,5"
16/04/2011 2.00,,,"0,3","0,3",63
16/04/2011 3.00,,,"0,2","0,3","63,1"
16/04/2011 4.00,"17,2","13,1",,"0,3","61,4"
16/04/2011 5.00,"18,1","13,1","0,9","0,3",
16/04/2011 6.00,24,"18,5","1,1","0,3",69
16/04/2011 7.00,"76,5","38,2","1,5","0,4","58,2"
16/04/2011 8.00,"63,5","39,9","1,7","0,6","48,3"
16/04/2011 9.00,"43,3",31,"1,4","0,4","52,6"
16/04/2011 10.00,29,"20,1","0,9","0,3","69,6"
16/04/2011 11.00,"16,1","10,4","1,1","0,3","93,4"
16/04/2011 12.00,"16,4","10,9","0,8","0,3","96,8"
16/04/2011 13.00,"18,5",12,"0,6","0,3","92,1"
16/04/2011 14.00,17,"9,9","1,1","0,3","90,1"
16/04/2011 15.00,"12,1","7,3","1,1","0,3","87,4"
16/04/2011 16.00,"12,9","7,8","1,1","0,3","88,7"
16/04/2011 17.00,"11,5",8,"0,9","0,3","90,5"
16/04/2011 18.00,"14,7",10,"0,8","0,3","86,1"
16/04/2011 19.00,"16,7","11,9",1,"0,3","79,7"
16/04/2011 20.00,"16,8","13,4","0,6","0,3","78,1"
16/04/2011 21.00,"15,3","11,2","0,8","0,3","79,5"
16/04/2011 22.00,"12,5","8,7","0,5","0,3","79,4"
16/04/2011 23.00,"11,8","7,7","0,6","0,3","72,1"
17/04/2011 0.00,"17,4","12,5","0,3","0,3","59,3"
17/04/2011 1.00,"20,2","15,3","0,4","0,3","50,1"
17/04/2011 2.00,"18,9","13,8","0,4","0,3","44,3"
17/04/2011 3.00,"15,9","11,5","0,5","0,3",41
17/04/2011 4.00,"15,5",11,"0,7","0,3",46
17/04/2011 5.00,"22,7","15,3","0,4","0,3","38,4"
17/04/2011 6.00,"19,7","15,3","0,2","0,3","41,8"
17/04/2011 7.00,"22,2","15,6","0,6","0,4","45,3"
17/04/2011 8.00,"17,1","11,8","0,4","0,3","54,2"
17/04/2011 9.00,"22,4","12,6","0,5","0,3","52,6"
17/04/2011 10.00,"26,1","14,7","0,7","0,3","58,4"
17/04/2011 11.00,"15,4","8,6","0,6","0,3","71,9"
17/04/2011 12.00,"15,8","8,3","1,2","0,3","80,3"
17/04/2011 13.00,"15,7","9,9","1,5","0,3",84
17/04/2011 14.00,10,"5,7","1,1","0,3","90,8"
17/04/2011 15.00,"9,8","5,6",1,"0,3",96
17/04/2011 16.00,20,"14,1","2,1","0,3","91,2"
17/04/2011 17.00,19,"13,9","1,2","0,3",91
17/04/2011 18.00,"21,9","15,6","1,2","0,3","89,4"
17/04/2011 19.00,"33,2","24,2","1,1","0,4","87,8"
17/04/2011 20.00,"23,6","17,8","1,2","0,4","89,1"
17/04/2011 21.00,"15,7","11,3","0,8","0,3","87,4"
17/04/2011 22.00,"14,9","10,9","0,9","0,3","89,9"
17/04/2011 23.00,"13,6","9,3","0,9","0,4","92,1"
18/04/2011 0.00,"11,9","8,4","0,5","0,3",91
18/04/2011 1.00,"10,9","7,2","0,6","0,3","86,7"
18/04/2011 2.00,,,"0,5","0,3","84,9"
18/04/2011 3.00,,,"0,5",,"81,9"
18/04/2011 4.00,"14,7","11,5",,"0,3",79
18/04/2011 5.00,"14,3","10,4","0,1","0,3",
18/04/2011 6.00,"17,9","13,1","0,1","0,3","68,5"
18/04/2011 7.00,"43,8","26,4","0,4","0,4","56,1"
18/04/2011 8.00,"57,3","33,5","0,8","0,5","52,2"
18/04/2011 9.00,"23,5","13,5","0,5","0,3","82,6"
18/04/2011 10.00,17,"10,1","0,7","0,3","91,6"
18/04/2011 11.00,"14,6",9,"0,2","0,3","96,7"
18/04/2011 12.00,"13,8","7,5","0,2","0,3","99,2"
18/04/2011 13.00,"18,7","10,2","0,3","0,3","98,7"
18/04/2011 14.00,"16,7","9,5","0,3","0,3","100,6"
18/04/2011 15.00,"16,6","9,9","0,8","0,3","102,7"
18/04/2011 16.00,"14,1","8,7","0,1","0,3","104,2"
18/04/2011 17.00,"15,1","9,6","0,4","0,3","104,5"
18/04/2011 18.00,"17,6","11,4","0,6","0,3","99,3"
18/04/2011 19.00,"18,5","12,7","0,2","0,3","94,1"
18/04/2011 20.00,"24,6","16,5","0,6","0,3","89,9"
18/04/2011 21.00,"18,9","14,1","0,4","0,3","87,2"
18/04/2011 22.00,"15,2","10,5","0,2","0,3","92,5"
18/04/2011 23.00,13,"8,2","0,2","0,3","91,3"
19/04/2011 0.00,"11,9","8,6","0,4","0,3","87,3"
19/04/2011 1.00,"11,9","7,6","0,1","0,3","85,8"
19/04/2011 2.00,"10,6","6,3",0,"0,3","86,4"
19/04/2011 3.00,"9,9","5,8",0,"0,3","86,3"
19/04/2011 4.00,"9,7","6,4",0,"0,3","85,9"
19/04/2011 5.00,"14,6","9,6",0,"0,3",80
19/04/2011 6.00,19,"13,4",0,"0,3","76,6"
19/04/2011 7.00,"40,5","20,9","0,3","0,3","70,2"
19/04/2011 8.00,"47,1","23,2","0,2","0,3","69,1"
19/04/2011 9.00,"22,8",15,"0,4","0,3","85,3"
