Stat,STATTE - SS7 Wind,,,,,
Parm,SO2,NOX,NO2,PM10,CO,BENZENE
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ug/m3 293K
08/04/2014 7.00,,"84,5","42,4",,"0,2","0,5"
08/04/2014 8.00,,"77,4","42,4","38,6","0,2","0,5"
08/04/2014 9.00,,"45,9","28,6",,"0,2","0,6"
08/04/2014 10.00,,"33,6","21,3","32,0","0,2","0,5"
08/04/2014 11.00,,"30,8","20,3",,"0,2","0,5"
08/04/2014 12.00,,"29,7","20,6","26,9","0,2","0,5"
08/04/2014 13.00,,"28,1","20,2",,"0,2","0,4"
08/04/2014 14.00,,"32,8","22,4","25,2","0,2","0,4"
08/04/2014 15.00,"0,7","26,7","19,0",,"0,2","0,4"
08/04/2014 16.00,"0,7","25,1","18,5","25,4","0,2","0,4"
08/04/2014 17.00,"0,7","24,7","19,6",,"0,2","0,4"
08/04/2014 18.00,"0,7","24,6","21,7","24,7","0,2","0,3"
08/04/2014 19.00,"1,1","34,2","33,1",,"0,2","0,8"
08/04/2014 20.00,"0,7","32,0","30,8","33,2","0,2","0,8"
08/04/2014 21.00,"0,7","31,7","30,5",,"0,3","1,3"
08/04/2014 22.00,"0,7","25,5","24,7","36,6","0,3","1,0"
08/04/2014 23.00,"0,7","11,8","11,1",,"0,2","0,8"
09/04/2014 0.00,"0,7","11,1","10,3","34,2","0,3","0,7"
09/04/2014 1.00,"0,7","12,6","11,8",,"0,3","0,7"
09/04/2014 2.00,"0,7","21,9","15,4","35,2","0,3","0,7"
09/04/2014 3.00,"0,7","11,9","11,1",,"0,3","0,6"
09/04/2014 4.00,"0,7","20,2","13,7","28,3","0,3","0,5"
09/04/2014 5.00,"0,7","15,8","10,2",,"0,2","0,5"
09/04/2014 6.00,"0,7","13,9","10,9","27,8","0,2","0,5"
09/04/2014 7.00,"0,9","33,6","17,8",,"0,2","0,5"
09/04/2014 8.00,"0,9","54,9","35,6","34,9","0,3","0,8"
09/04/2014 9.00,"1,0","58,7","39,3",,"0,3","1,0"
09/04/2014 10.00,"1,3","70,0","41,9","35,9","0,3","0,9"
09/04/2014 11.00,"3,1","62,8","39,7",,"0,2","0,8"
09/04/2014 12.00,"1,3","42,2","28,7","35,4","0,2","0,5"
09/04/2014 13.00,"1,3","28,5","19,7",,"0,2","0,5"
09/04/2014 14.00,"0,7","15,7","12,0","20,3","0,2","0,4"
09/04/2014 15.00,"0,7","38,3","32,5",,"0,2",
09/04/2014 16.00,"1,1","63,9","49,2","34,2","0,4","0,4"
09/04/2014 17.00,"0,8","60,1","49,0",,"0,3","0,5"
09/04/2014 18.00,"0,7","31,2","26,4","39,1","0,2","0,4"
09/04/2014 19.00,"0,7","16,3","14,7",,"0,2","0,4"
09/04/2014 20.00,"0,7","21,0","19,4","28,1","0,2","0,4"
09/04/2014 21.00,"0,7","11,6","10,6",,"0,2","0,4"
09/04/2014 22.00,"0,7","8,3","7,4","26,9","0,2","0,4"
09/04/2014 23.00,"0,7","5,1","4,7",,"0,1","0,4"
10/04/2014 0.00,"0,7","7,3","6,4","16,6","0,1","0,3"
10/04/2014 1.00,,"6,2","5,5",,"0,1","0,3"
10/04/2014 2.00,"0,8",,,"14,9","0,1","0,3"
10/04/2014 3.00,"0,7","8,8","6,5",,,"0,3"
10/04/2014 4.00,"0,7","9,7","8,2","11,5","0,2","0,3"
10/04/2014 5.00,"0,7","19,2","16,7",,"0,2","0,3"
10/04/2014 6.00,"1,1","69,7","47,3","14,2","0,2","0,4"
10/04/2014 7.00,"0,9","51,4","31,7",,"0,2","0,4"
10/04/2014 8.00,"1,2","33,4","22,1","12,2","0,2","0,5"
10/04/2014 9.00,"1,1","15,6","11,0",,"0,2","0,5"
10/04/2014 10.00,"0,7","13,8","10,2","6,8","0,2","0,5"
10/04/2014 11.00,"0,7","6,4","5,0",,"0,2","0,4"
10/04/2014 12.00,"0,7","4,8","3,6","8,8","0,2","0,3"
10/04/2014 13.00,"0,7","3,2","2,5",,"0,2","0,3"
10/04/2014 14.00,"0,7","3,4","2,5","5,6","0,2","0,3"
10/04/2014 15.00,"0,7","3,8","2,9",,"0,2","0,2"
10/04/2014 16.00,"0,7","2,7","1,8","3,7","0,2","0,2"
10/04/2014 17.00,"0,7","2,7","1,8",,"0,2","0,2"
10/04/2014 18.00,"0,7","3,8","2,6","3,4","0,2","0,3"
10/04/2014 19.00,"0,7","4,0","3,2",,"0,2","0,3"
10/04/2014 20.00,"0,7","8,9","8,3","3,9","0,2","0,3"
10/04/2014 21.00,"0,7","14,0","13,5",,"0,2","0,4"
10/04/2014 22.00,"0,7","11,2","10,2","13,7","0,2","0,4"
10/04/2014 23.00,"0,7","14,8","13,1",,"0,2","0,4"
11/04/2014 0.00,"0,8","9,0","8,4","10,5","0,2","0,5"
11/04/2014 1.00,"0,7","12,7","11,5",,"0,2","0,4"
11/04/2014 2.00,"0,7","8,6","7,9","9,3","0,2","0,4"
11/04/2014 3.00,"0,7","4,6","4,1",,"0,2","0,3"
11/04/2014 4.00,"0,8","3,3","2,9","5,9","0,2","0,3"
11/04/2014 5.00,"1,1","20,0","12,8",,"0,2","0,3"
11/04/2014 6.00,"0,8","20,4","13,8","11,5","0,2","0,4"
11/04/2014 7.00,"1,5","46,7","23,2",,"0,2","0,5"
11/04/2014 8.00,"1,3","105,1","56,9","11,7","0,2","0,5"
11/04/2014 9.00,"1,3","45,9","29,2",,"0,2","0,6"
11/04/2014 10.00,"0,7","20,8","15,4","23,0","0,2","0,5"
11/04/2014 11.00,"0,7","9,0","7,4",,"0,2","0,5"
11/04/2014 12.00,"0,7","8,5","7,1","16,1","0,2","0,4"
11/04/2014 13.00,"0,7","21,4","16,8",,"0,2","0,4"
11/04/2014 14.00,"0,7","33,1","25,8","10,7","0,2","0,3"
11/04/2014 15.00,"0,7","32,7","25,6",,"0,2","0,4"
11/04/2014 16.00,"0,7","31,1","24,8","12,5","0,2","0,4"
11/04/2014 17.00,"0,7","34,1","25,2",,"0,2","0,4"
11/04/2014 18.00,"0,7","48,5","38,6","16,1","0,2","0,6"
11/04/2014 19.00,"0,9","69,1","50,2",,"0,2","0,7"
11/04/2014 20.00,"0,7","14,9","13,9","22,7","0,2","0,6"
11/04/2014 21.00,"0,7","24,3","23,5",,"0,2","0,5"
11/04/2014 22.00,"0,7","19,1","18,5","20,5","0,2","0,6"
11/04/2014 23.00,"0,7","9,7","9,1",,"0,2","0,7"
12/04/2014 0.00,"0,7","6,5","6,1","18,3","0,2","0,8"
12/04/2014 1.00,,"5,3","4,8",,"0,2","0,7"
12/04/2014 2.00,"0,8",,,"19,3","0,2","0,6"
12/04/2014 3.00,"0,8","11,7","7,5",,,"0,5"
12/04/2014 4.00,"0,9","14,3","9,5","16,1","0,2","0,5"
12/04/2014 5.00,"1,0","16,8","10,8",,"0,2","0,5"
12/04/2014 6.00,"0,7","6,0","5,1","12,9","0,2","0,4"
12/04/2014 7.00,"1,0","11,2","10,0",,"0,2","0,6"
12/04/2014 8.00,"0,9","12,3","10,5","16,1","0,3","1,6"
12/04/2014 9.00,"2,0","25,7","20,6",,"0,3","1,1"
12/04/2014 10.00,"2,0","33,8","25,9",,"0,2","0,8"
12/04/2014 11.00,"1,3","16,1","12,2",,"0,2","1,0"
12/04/2014 12.00,"0,9","13,3","10,0",,"0,2","0,5"
12/04/2014 13.00,"0,7","12,9","9,4",,"0,2","0,4"
12/04/2014 14.00,"0,7","13,3","9,9",,"0,2","0,4"
12/04/2014 15.00,"0,7","12,1","9,3",,"0,2","0,4"
12/04/2014 16.00,"0,9","12,7","9,8",,"0,2","0,4"
12/04/2014 17.00,"0,8","11,9","9,2",,"0,2","0,4"
12/04/2014 18.00,"0,9","14,3","11,6","6,3","0,2","0,4"
12/04/2014 19.00,"0,8","17,1","14,9",,"0,2","0,5"
12/04/2014 20.00,"0,8","20,2","18,6","6,6","0,2","0,6"
12/04/2014 21.00,"0,9","27,7","26,7",,"0,2","1,2"
12/04/2014 22.00,"1,0","18,5","17,6","14,2","0,2","1,5"
12/04/2014 23.00,"1,0","14,5","13,6",,"0,2","1,6"
13/04/2014 0.00,"0,8","15,9","15,0","15,4","0,2","0,8"
13/04/2014 1.00,"0,7","10,6","9,7",,"0,2","0,7"
13/04/2014 2.00,"1,1","6,5","5,9","15,9","0,2","0,5"
13/04/2014 3.00,"0,7","7,3","6,8",,"0,2","0,5"
13/04/2014 4.00,"0,7","6,2","5,9","14,2","0,3","0,5"
13/04/2014 5.00,"1,1","6,0","5,6",,"0,2","0,5"
13/04/2014 6.00,"0,9","6,1","5,4","14,9","0,2","0,4"
13/04/2014 7.00,"0,9","8,2","7,2",,"0,2","0,4"
13/04/2014 8.00,"1,0","9,5","8,5","16,1","0,2","0,4"
13/04/2014 9.00,"0,8","6,6","5,7",,"0,2","0,4"
13/04/2014 10.00,"0,7","3,2","2,4","16,6","0,2","0,3"
13/04/2014 11.00,"0,9","4,9","3,7",,"0,2","0,3"
13/04/2014 12.00,"0,8","9,8","7,9","9,3","0,2","0,3"
13/04/2014 13.00,"0,7","10,2","8,2",,"0,2","0,3"
13/04/2014 14.00,"0,7","3,5","3,0","5,9","0,2","0,3"
13/04/2014 15.00,"0,8","2,6","1,8",,"0,2","0,2"
13/04/2014 16.00,"0,7","2,0","1,8","4,2","0,2","0,3"
13/04/2014 17.00,"0,7","2,3","1,5",,"0,2","0,2"
13/04/2014 18.00,"0,7","2,4","2,0","3,4","0,1","0,3"
13/04/2014 19.00,"0,7","3,0","2,3",,"0,1","0,2"
13/04/2014 20.00,"0,7","3,0","2,7","3,2","0,2","0,3"
13/04/2014 21.00,"0,7","4,0","3,4",,"0,1","0,3"
13/04/2014 22.00,"0,7","5,5","4,9","6,6","0,1","0,3"
13/04/2014 23.00,"0,7","20,4","17,0",,"0,2","0,4"
14/04/2014 0.00,"0,9","18,3","15,6","8,8","0,2","0,4"
14/04/2014 1.00,,"16,9","15,6",,"0,2","0,4"
14/04/2014 2.00,"0,9",,,"9,3","0,2","0,4"
14/04/2014 3.00,"0,9","12,7","10,5",,,"0,3"
14/04/2014 4.00,"0,8","17,8","12,9","10,3","0,2","0,4"
14/04/2014 5.00,"0,9","30,3","19,3",,"0,2","0,4"
14/04/2014 6.00,"1,4","70,9","43,6","13,2","0,2","0,4"
14/04/2014 7.00,"1,1","69,5","44,2",,"0,2","0,4"
14/04/2014 8.00,"0,9","46,0","30,7","24,7","0,2","0,4"
14/04/2014 9.00,"0,7","13,5","10,5",,"0,2","0,4"
14/04/2014 10.00,"0,7","8,7","6,9","13,9","0,2","0,3"
14/04/2014 11.00,"0,7","26,8","20,2",,"0,2","0,3"
14/04/2014 12.00,"0,7","32,8","23,4","7,8","0,2","0,3"
14/04/2014 13.00,"0,8","27,4","19,4",,"0,2","0,3"
14/04/2014 14.00,"1,2","29,0","19,5","1,7",,"0,3"
14/04/2014 15.00,"0,7","25,3","17,9",,"0,3","0,3"
14/04/2014 16.00,"1,3","20,9","14,7","1,0","0,3","0,3"
14/04/2014 17.00,"1,2","23,9","17,6",,"0,3","0,3"
14/04/2014 18.00,"1,0","27,1","21,7","5,9","0,3","0,3"
14/04/2014 19.00,"1,0","34,6","31,0",,"0,3","0,2"
14/04/2014 20.00,"1,0","22,1","17,9","10,0","0,2","0,3"
14/04/2014 21.00,"0,8","10,8","8,8",,"0,3","0,3"
14/04/2014 22.00,"1,0","6,1","5,6","14,4","0,3","1,9"
14/04/2014 23.00,"1,0","11,2","8,8",,"0,3","0,5"
15/04/2014 0.00,"0,9","15,7","14,9","15,9","0,3","0,7"
15/04/2014 1.00,"0,7","8,6","8,2",,"0,3","0,5"
15/04/2014 2.00,"0,9","6,9","6,3","12,5","0,3","0,5"
15/04/2014 3.00,"0,9","7,1","6,3",,"0,3","0,5"
15/04/2014 4.00,"1,1","18,0","9,4","13,2","0,3","0,5"
15/04/2014 5.00,"1,9","64,7","21,1",,"0,3","0,6"
15/04/2014 6.00,"1,4","42,2","15,9","17,1","0,3","0,5"
15/04/2014 7.00,"1,9","54,7","23,6",,"0,3","0,5"
15/04/2014 8.00,"1,3","54,9","37,1","23,0","0,3","0,5"
15/04/2014 9.00,"1,2","29,2","20,0",,"0,3","0,3"
15/04/2014 10.00,"1,1","24,5","16,9","12,7","0,3","0,3"
15/04/2014 11.00,"1,1","24,5","16,5",,"0,3","0,3"
15/04/2014 12.00,"1,3","21,9","14,8","8,5","0,3","0,2"
15/04/2014 13.00,"1,3","26,1","17,9",,"0,3","0,2"
15/04/2014 14.00,"1,3","28,4","20,2","5,4","0,3","0,3"
15/04/2014 15.00,"1,3","22,1","15,1",,"0,3","0,3"
15/04/2014 16.00,"1,3","22,6","16,7","11,0","0,3","0,3"
15/04/2014 17.00,"0,9","5,1","4,3",,"0,2","0,2"
15/04/2014 18.00,"0,7","2,9","2,3","5,9","0,2","0,2"
15/04/2014 19.00,"1,1","3,0","2,4",,"0,2","0,2"
15/04/2014 20.00,"1,2","6,3","5,6","6,1","0,2","0,2"
15/04/2014 21.00,"1,2","9,1","8,3",,"0,2","0,2"
15/04/2014 22.00,"1,0","14,8","12,7","8,1","0,3","0,2"
15/04/2014 23.00,"1,1","12,3","10,6",,"0,3","0,3"
16/04/2014 0.00,"1,3","8,1","6,8","4,9","0,3","0,2"
16/04/2014 1.00,,"5,4","4,4",,"0,2","0,2"
16/04/2014 2.00,"1,0",,,"5,6","0,2","0,2"
16/04/2014 3.00,"1,1","8,1","6,2",,,"0,2"
16/04/2014 4.00,"1,3","11,8","9,4","5,1","0,2","0,2"
16/04/2014 5.00,"1,3","28,2","20,0",,"0,2","0,2"
16/04/2014 6.00,"1,3","59,2","37,1","3,9","0,2","0,3"
16/04/2014 7.00,"2,1","104,2","53,2",,"0,2","0,3"
16/04/2014 8.00,"1,7","43,2","23,9","14,4","0,2","0,4"
16/04/2014 9.00,"1,5","5,0","3,9",,"0,2","0,3"
16/04/2014 10.00,"1,4","3,3","2,3","13,2","0,2","0,3"
16/04/2014 11.00,"1,4","3,6","2,7",,"0,2","0,3"
16/04/2014 12.00,"1,8","3,5","2,5","7,3","0,2","0,3"
16/04/2014 13.00,"2,2","3,6","2,5",,"0,2","0,3"
16/04/2014 14.00,"2,1","3,6","2,5","5,1","0,2","0,3"
16/04/2014 15.00,"1,4","4,0","2,9",,"0,2","0,3"
16/04/2014 16.00,"1,2","5,2","4,1","3,4","0,2","0,3"
16/04/2014 17.00,"0,9","4,9","4,0",,"0,2","0,3"
16/04/2014 18.00,"1,1","34,3","22,1","9,3","0,2","0,3"
16/04/2014 19.00,"0,7","11,8","10,6",,"0,2","0,3"
16/04/2014 20.00,"0,7","25,5","20,6","8,3","0,2","0,4"
16/04/2014 21.00,"1,1","19,2","16,3",,"0,2","0,4"
16/04/2014 22.00,"0,7","12,7","11,2","10,0","0,2","0,4"
16/04/2014 23.00,"0,8","9,5","8,3",,"0,2","0,4"
17/04/2014 0.00,"0,7","7,5","6,4","6,3","0,2","0,4"
17/04/2014 1.00,"0,8","7,3","6,8",,"0,2","0,4"
17/04/2014 2.00,"0,8","11,2","9,2","9,5","0,2","0,4"
17/04/2014 3.00,"0,8","8,3","7,1",,"0,2","0,3"
17/04/2014 4.00,"0,7","18,8","16,2","6,1","0,2","0,4"
17/04/2014 5.00,"1,0","27,4","20,4",,"0,2","0,4"
17/04/2014 6.00,"1,0","25,1","17,4","4,4","0,2","0,5"
17/04/2014 7.00,"1,0","30,7","19,9",,"0,2","0,5"
17/04/2014 8.00,"0,9","44,2","24,8","3,7","0,2","0,5"
17/04/2014 9.00,"0,7","8,0","6,6",,"0,2","0,5"
17/04/2014 10.00,"0,7","6,3","4,6","6,6","0,2","0,5"
17/04/2014 11.00,"0,9","4,7","3,7",,"0,2","0,4"
17/04/2014 12.00,"0,7","4,3","3,0","6,3","0,2","0,4"
17/04/2014 13.00,"0,9","4,3","3,1",,"0,2","0,4"
17/04/2014 14.00,"0,7","3,5","2,5","4,4","0,2","0,4"
17/04/2014 15.00,"0,7","5,1","3,6",,"0,2","0,4"
17/04/2014 16.00,"0,7","3,6","2,7","3,2","0,2","0,4"
17/04/2014 17.00,"0,7","4,3","3,4",,"0,2","0,5"
17/04/2014 18.00,"0,8","9,0","7,2","2,9","0,2","0,5"
17/04/2014 19.00,"0,8","26,5","20,5",,"0,2","0,5"
17/04/2014 20.00,"0,7","19,6","16,6","2,9","0,2","0,5"
17/04/2014 21.00,"0,8","17,6","14,7",,"0,2","0,5"
17/04/2014 22.00,"0,7","12,7","10,6","2,2","0,2","0,5"
17/04/2014 23.00,"0,8","21,0","17,0",,"0,2","0,6"
18/04/2014 0.00,"0,7","15,0","12,8","2,4","0,2","0,5"
18/04/2014 1.00,,"10,4","9,3",,"0,2","0,5"
18/04/2014 2.00,"1,0",,,"2,4","0,2","0,4"
18/04/2014 3.00,"1,0","8,7","7,7",,,"0,4"
18/04/2014 4.00,"1,0","30,1","25,7","2,9","0,2","0,4"
18/04/2014 5.00,"1,1","29,6","24,1",,"0,2","0,5"
18/04/2014 6.00,"1,3","65,8","40,7","3,4","0,3","0,5"
18/04/2014 7.00,"1,8","73,5","35,7",,"0,3","0,6"
18/04/2014 8.00,"1,4","38,0","21,9","11,2","0,3","0,6"
18/04/2014 9.00,"1,3","18,5","12,7",,"0,2","0,6"
18/04/2014 10.00,"1,3","10,8","7,8","2,9","0,2","0,6"
18/04/2014 11.00,"1,0","8,3","6,2",,"0,2","0,5"
18/04/2014 12.00,"1,1","17,7","14,3","4,9","0,2","0,4"
18/04/2014 13.00,"1,2","26,7","20,1",,"0,2","0,5"
18/04/2014 14.00,"1,2","39,6","24,7","3,7","0,2","0,4"
18/04/2014 15.00,"1,1","29,3","20,6",,"0,2","0,5"
18/04/2014 16.00,"1,3","31,2","21,3","3,2","0,2","0,5"
18/04/2014 17.00,"1,3","40,2","26,7",,"0,2","0,5"
18/04/2014 18.00,"1,1","25,9","18,8","2,7","0,2","0,5"
18/04/2014 19.00,"1,2","25,5","18,4",,"0,2","0,5"
18/04/2014 20.00,"1,0","23,1","17,0","11,0","0,2","0,5"
18/04/2014 21.00,"0,7","29,1","22,6",,"0,2","0,5"
18/04/2014 22.00,"0,9","6,5","5,8","11,5","0,2","0,5"
18/04/2014 23.00,"1,4","39,9","22,8",,"0,2","0,5"
19/04/2014 0.00,"1,0","22,0","17,4","19,3","0,2","0,5"
19/04/2014 1.00,"0,8","24,9","21,5",,"0,3","0,6"
19/04/2014 2.00,"1,1","24,8","17,3","21,5","0,2","0,6"
19/04/2014 3.00,"1,0","20,4","15,4",,"0,3","0,6"
19/04/2014 4.00,"1,3","11,7","10,9","19,8","0,2","0,6"
19/04/2014 5.00,"1,2","16,1","12,6",,"0,2","0,5"
19/04/2014 6.00,"1,6","40,9","20,0","20,8","0,2","0,5"
19/04/2014 7.00,"1,5","13,5","8,7",,"0,2","0,5"
19/04/2014 8.00,"1,3","25,6","19,9","18,1","0,2","0,5"
19/04/2014 9.00,"1,1","12,7","10,3",,"0,2","0,4"
19/04/2014 10.00,"1,1","13,7","10,5","10,5","0,2","0,6"
19/04/2014 11.00,"0,9","15,5","11,6",,"0,2","0,4"
19/04/2014 12.00,"1,2","15,2","11,1","16,8","0,2","0,3"
19/04/2014 13.00,"1,3","11,8","8,8",,"0,2","0,3"
19/04/2014 14.00,"1,8","22,0","16,7","10,0","0,2","0,5"
19/04/2014 15.00,"1,3","13,1","9,7",,"0,2","0,5"
19/04/2014 16.00,"1,3","17,4","14,3","6,1","0,2","0,8"
19/04/2014 17.00,"1,3","21,7","18,1",,"0,2","1,1"
19/04/2014 18.00,"1,3","14,3","12,0","13,2","0,2","1,0"
19/04/2014 19.00,"1,1","22,9","20,8",,"0,2","1,3"
19/04/2014 20.00,"1,3","12,3","11,8","14,9","0,2","1,3"
19/04/2014 21.00,"1,2","11,6","10,8",,"0,2","0,7"
19/04/2014 22.00,"1,3","11,9","11,2","24,9","0,3","0,5"
19/04/2014 23.00,"1,3","7,8","6,9",,"0,2","0,4"
20/04/2014 0.00,"1,1","8,4","7,7","24,7","0,2","0,4"
20/04/2014 1.00,,"8,1","7,3",,"0,2","0,4"
20/04/2014 2.00,"1,3",,,"28,8","0,2","0,4"
20/04/2014 3.00,"1,3","4,8","4,1",,,"0,3"
20/04/2014 4.00,"1,3","5,2","4,7","20,3","0,2","0,3"
20/04/2014 5.00,"1,3","17,7","17,2",,"0,7","0,3"
20/04/2014 6.00,"1,3","20,5","19,6","23,4","0,6","1,1"
20/04/2014 7.00,"1,3","9,5","8,5",,"0,2","0,8"
20/04/2014 8.00,"1,3","9,6","8,0","20,8","0,3","0,7"
20/04/2014 9.00,"1,9","17,9","13,5",,"0,2","0,7"
20/04/2014 10.00,"2,9","19,7","14,9","15,6","0,2","0,7"
20/04/2014 11.00,"3,2","14,7","11,5",,"0,2","0,9"
20/04/2014 12.00,"2,3","11,1","8,7","14,2","0,2","0,5"
20/04/2014 13.00,"2,5","16,6","12,8",,"0,2","0,5"
20/04/2014 14.00,"1,7","7,7","6,2","17,8","0,2","0,4"
20/04/2014 15.00,"1,3","4,5","3,4",,"0,2","0,3"
20/04/2014 16.00,"1,3","4,5","3,4","17,1","0,2","0,3"
20/04/2014 17.00,"1,3","5,7","4,8",,"0,2","0,2"
20/04/2014 18.00,"2,3","23,6","22,3","19,0","0,6","0,8"
20/04/2014 19.00,"3,3","22,8","21,9",,"0,7","1,2"
20/04/2014 20.00,"3,3","24,5","23,6","34,4","0,9","1,1"
20/04/2014 21.00,"2,1","15,0","14,1",,"0,3","1,1"
20/04/2014 22.00,"1,3","7,2","6,9","36,1","0,2","0,5"
20/04/2014 23.00,"1,3","16,5","15,9",,"0,3","0,6"
21/04/2014 0.00,"1,3","18,4","17,7","35,2","0,5","1,2"
21/04/2014 1.00,"2,0","30,6","29,7",,"0,8","1,5"
21/04/2014 2.00,"2,0","13,3","12,7","36,1","0,8","0,7"
21/04/2014 3.00,"1,7","27,3","26,4",,"0,8","0,9"
21/04/2014 4.00,"1,3","18,2","17,6","38,8","0,5","0,8"
21/04/2014 5.00,"1,3","10,2","9,6",,"0,9","0,5"
21/04/2014 6.00,"1,3","15,5","14,8","33,0","0,9","1,1"
21/04/2014 7.00,"1,3","8,6","7,7",,"0,3","0,7"
21/04/2014 8.00,"1,3","11,9","11,0","29,3","0,7","1,0"
21/04/2014 9.00,"1,5","17,0","14,7",,"0,4","1,2"
21/04/2014 10.00,"1,5","12,5","9,9","22,2","0,6","1,1"
21/04/2014 11.00,"2,0","16,7","13,1",,"0,4","1,0"
21/04/2014 12.00,"3,2","14,2","11,0","23,7","0,4","0,9"
21/04/2014 13.00,"3,2","12,2","9,4",,"0,1","0,4"
21/04/2014 14.00,"3,1","8,8","6,7","24,4","0,1","0,3"
21/04/2014 15.00,"2,0","4,7","3,8",,"0,1","0,2"
21/04/2014 16.00,"1,3","6,1","4,9","25,4","0,1","0,2"
21/04/2014 17.00,"1,3","10,1","8,7",,"0,1","0,2"
21/04/2014 18.00,"1,3","17,9","15,1","36,4","0,1","0,3"
21/04/2014 19.00,"1,3","13,4","12,5",,"0,1","0,3"
21/04/2014 20.00,"1,3","24,7","22,8","35,2","0,1","0,2"
21/04/2014 21.00,"1,3","21,1","20,3",,"0,1","0,3"
21/04/2014 22.00,"1,3","13,2","12,3","44,7","0,1","0,3"
21/04/2014 23.00,"1,3","36,3","34,0",,"0,1","1,0"
22/04/2014 0.00,"1,3","16,1","15,3","53,7","0,1","1,0"
22/04/2014 1.00,,"7,3","5,7",,"0,1","0,3"
22/04/2014 2.00,"1,3",,,"41,3","0,1","0,3"
22/04/2014 3.00,"1,3","2,8","2,0",,,"0,2"
22/04/2014 4.00,"1,3","17,0","12,5","30,5","0,2","0,2"
22/04/2014 5.00,"1,3","9,3","6,6",,"0,2","0,1"
22/04/2014 6.00,"1,3","12,3","7,3","25,2","0,2","0,2"
22/04/2014 7.00,"1,3","18,5","12,5",,"0,2","0,3"
22/04/2014 8.00,"2,1","75,9","41,3","35,4","0,7","0,5"
22/04/2014 9.00,"2,7","64,6","38,3",,"0,4","2,5"
22/04/2014 10.00,"1,3","26,6","18,0","27,1","0,2","0,5"
22/04/2014 11.00,"1,3","20,4","14,3",,"0,2","0,4"
22/04/2014 12.00,"2,0","23,0","17,9","15,1","0,3","0,3"
22/04/2014 13.00,"3,4","28,0","19,3",,"0,3","0,7"
22/04/2014 14.00,"1,3","23,3","16,0","8,8","0,3","0,3"
22/04/2014 15.00,"1,3","24,0","18,4",,"0,3","0,3"
22/04/2014 16.00,"1,3","23,1","17,8","26,1","0,3","0,2"
22/04/2014 17.00,"1,3","37,4","29,4",,"0,3","0,2"
22/04/2014 18.00,"1,3","25,2","20,4","34,4","0,3","0,3"
22/04/2014 19.00,"1,3","33,7","29,2",,"0,3","0,3"
22/04/2014 20.00,"1,3","26,4","22,1","35,4","0,3","0,3"
22/04/2014 21.00,"1,3","16,4","15,4",,"0,3","0,3"
22/04/2014 22.00,"1,3","16,8","14,7","31,0","0,3","0,2"
22/04/2014 23.00,"1,3","6,6","5,6",,"0,3","0,3"
23/04/2014 0.00,"1,3","13,1","11,9","29,3","0,3","0,4"
23/04/2014 1.00,"1,3","11,8","11,0",,"0,4","0,4"
23/04/2014 2.00,"1,3","16,4","14,0","35,4","0,3","0,5"
23/04/2014 3.00,"1,3","13,4","12,4",,"0,3","0,5"
23/04/2014 4.00,"1,3","12,3","10,1","32,0","0,3","0,5"
23/04/2014 5.00,"1,3","8,5","7,6",,"0,3","0,4"
23/04/2014 6.00,"1,3","8,2","6,9","30,0","0,4","0,5"
23/04/2014 7.00,"1,4","27,2","18,4",,"0,3","0,3"
23/04/2014 8.00,"1,5","39,5","30,5","37,4","0,3","0,3"
23/04/2014 9.00,"1,3","4,7","3,8",,"0,3","0,3"
23/04/2014 10.00,"1,3","3,9","3,2","23,7","0,3","0,3"
23/04/2014 11.00,"1,4","5,0","4,1",,"0,3","0,2"
23/04/2014 12.00,"1,5","4,0","3,3","23,0","0,3","0,3"
23/04/2014 13.00,"1,5","3,8","3,1",,"0,3","0,2"
23/04/2014 14.00,"1,8","3,8","2,9","16,6","0,3","0,2"
23/04/2014 15.00,"2,9","3,8","2,7",,"0,3","0,2"
23/04/2014 16.00,"2,4","3,6","2,7","17,3","0,3","0,4"
23/04/2014 17.00,"2,7","4,2","3,1",,"0,3","0,6"
23/04/2014 18.00,"2,2","4,3","3,5","19,8","0,3","0,3"
23/04/2014 19.00,"1,3","4,2","3,8",,"0,3","0,2"
23/04/2014 20.00,"1,5","4,1","3,4","16,1","0,3","0,2"
23/04/2014 21.00,"1,4","4,1","3,4",,"0,3","0,2"
23/04/2014 22.00,"1,3","3,2","2,8","13,9","0,3","0,1"
23/04/2014 23.00,"1,3","2,8","2,1",,"0,2",
24/04/2014 0.00,"1,4","2,5","1,8","11,7","0,2","0,1"
24/04/2014 1.00,,"2,4","1,8",,"0,2","0,2"
24/04/2014 2.00,"2,4",,,"13,4","0,2","0,2"
24/04/2014 3.00,"1,4","2,4","1,4",,,"0,1"
24/04/2014 4.00,"1,7","2,2","1,5","16,4","0,1","0,1"
24/04/2014 5.00,"1,7","8,1","5,8",,"0,1","0,2"
24/04/2014 6.00,"1,9","27,4","20,5","12,7","0,2","0,2"
24/04/2014 7.00,"2,3","29,3","21,5",,"0,2","0,3"
24/04/2014 8.00,"2,1","33,4","22,4","18,8","0,2","0,3"
24/04/2014 9.00,"1,5","14,2","10,9",,"0,2","0,5"
24/04/2014 10.00,"1,3","16,3","12,1","13,2","0,2","0,3"
24/04/2014 11.00,"1,4","19,0","13,4",,"0,2","0,3"
